t	x	y
0.0	0.0	1.0
0.0350251256281407	0.03501796483355252	0.999386682990581
0.0700502512562814	0.03510382059830711	1.0006103086702025
0.10507537688442212	0.035532414980534804	1.0042646615182287
0.1401005025125628	0.03655831806601004	1.0103092842483123
0.1751256281407035	0.03843222365624596	1.0186830209012918
0.21015075376884423	0.041399405925440586	1.0293043554645245
0.24517587939698493	0.045698204206606696	1.0420718613187234
0.2802010050251256	0.051558543721933525	1.0568647592469027
0.3152261306532663	0.05920049989375592	1.0735435811941527
0.350251256281407	0.06883291365590904	1.091950936434987
0.3852763819095477	0.08065206493179494	1.1119123762895085
0.42030150753768847	0.09484041115641861	1.1332373530332183
0.45532663316582916	0.11156539739640231	1.1557202681703524
0.49035175879396986	0.13097834426613758	1.17914160478955
0.5253768844221105	0.15321341945153555	1.2032691382956464
0.5604020100502513	0.1783866982372027	1.2278592194145523
0.595427135678392	0.20659531799032926	1.2526581230014826
0.6304522613065326	0.23791673108732592	1.277403455848052
0.6654773869346734	0.27240806027956954	1.3018256163826216
0.700502512562814	0.31010555998492906	1.3256492988922333
0.7355276381909548	0.35102418646456796	1.3485950346648554
0.7705527638190954	0.3951572793024207	1.3703807622585955
0.8055778894472362	0.4424763560504189	1.3907234189509883
0.8406030150753769	0.49293102133870476	1.4093405453071983
0.8756281407035176	0.546448991179514	1.4259518947315564
0.9106532663316583	0.6029362326189083	1.4402810398326693
0.945678391959799	0.6622772183149783	1.452056967438562
0.9807035175879397	0.7243352950472876	1.4610156541449233
1.0157286432160804	0.7889531645930763	1.466901614366329
1.050753768844221	0.8559534748438493	1.4694694129868424
1.0857788944723619	0.9251395184842331	1.4684851348721106
1.1208040201005025	0.9962960360161045	1.4637278037090955
1.1558291457286431	1.0691901193876459	1.4549907428809852
1.190854271356784	1.1435722119817178	1.442082871362399
1.2258793969849247	1.21917720023329	1.424829927932399
1.2609045226130653	1.2957255916839987	1.403075617348509
1.295929648241206	1.3729247738455006	1.3766826725022703
1.3309547738693468	1.4504703478343042	1.3455338269839192
1.3659798994974874	1.528047530361236	1.3095326929186453
1.401005025125628	1.6053326173104818	1.2686045393973804
1.436030150753769	1.6819945018279732	1.2226969673089803
1.4710552763819096	1.757696239558331	1.1717804768855835
1.5060804020100502	1.8320966534250276	1.1158489247964172
1.5411055276381909	1.90485197014107	1.0549198681647973
1.5761306532663317	1.9756174804684252	0.9890347934358829
1.6111557788944724	2.0440492151144056	0.9182592285862179
1.646180904522613	2.10980562806298	0.8426827377374044
1.6812060301507539	2.172549279088945	0.7624187978126888
1.7162311557788945	2.231948507193305	0.6776045574538736
1.7512562814070352	2.287679086729195	0.5884004789940404
1.7862814070351758	2.3394258580590277	0.494989864856218
1.8213065326633167	2.3868843246949805	0.3975782703164987
1.8563316582914573	2.4297622090259137	0.29639280512948074
1.891356783919598	2.4677809589235675	0.19168132706146762
1.9263819095477386	2.5006771977485878	0.08371153090996941
1.9614070351758794	2.5282041105413775	-0.027230062895950147
1.99643216080402	2.550132759482767	-0.1408392155235474
2.0314572864321607	2.5662533220435506	-0.25679516772724975
2.0664824120603016	2.5763762456084165	-0.3747619230873046
2.101507537688442	2.580333312756926	-0.49438961055774294
2.136532663316583	2.5779786118100882	-0.6153159199905606
2.1715577889447237	2.5691894077035613	-0.7371676039390076
2.206582914572864	2.553866908725485	-0.8595620387113495
2.241608040201005	2.531936925156023	-0.9821088373489495
2.276633165829146	2.503350416364457	-1.1044115069405371
2.3116582914572863	2.4680839234555867	-1.226069142459421
2.346683417085427	2.426139885107656	-1.346678149123163
2.381708542713568	2.3775468348063447	-1.4658339851268916
